,depth,magnitude
0,10.0,5.2
1,55.4,2.8
2,10.0,4.5
3,10.0,4.5
4,24.03,5.0
5,14.7,5.0
6,10.0,4.6
7,532.71,4.8
8,21.1,4.9
9,20.86,4.9
10,106.7,2.8
11,-1.26,2.63
12,55.87,4.7
13,10.0,5.2
14,10.0,5.6
15,10.0,4.8
16,50.0,2.92
17,10.0,4.9
18,126.0,2.8
19,196.49,5.5
20,89.0,2.5
21,15.7,4.5
22,10.0,5.2
23,57.07,4.6
24,10.0,5.0
25,10.0,5.1
26,10.0,4.5
27,6.8,2.5
28,123.76,4.9
29,52.45,4.3
30,21.08,3.9
31,10.0,4.8
32,10.0,4.7
33,10.0,5.0
34,10.0,4.8
35,10.0,4.2
36,22.52,5.1
37,12.59,3.66
38,20.0,5.4
39,10.0,4.3
40,19.39,4.5
41,10.0,5.2
42,3.33,2.83
43,40.6,2.8
44,13.81,6.2
45,10.0,4.3
46,5.41,2.84
47,5.2,2.71
48,10.0,3.8
49,14.82,4.3
50,10.0,3.8
51,8.42,6.1
52,36.58,4.1
53,15.11,4.9
54,38.32,4.8
55,26.7,5.2
56,40.01,5.0
57,13.33,5.7
58,22.31,4.7
59,33.05,4.9
60,49.0,4.7
61,35.9,4.8
62,50.46,4.9
63,60.3,5.0
64,33.0,3.32
65,23.64,6.0
66,9.11,2.6
67,37.0,2.6
68,3.94,2.7
69,35.0,4.6
70,5.0,2.6
71,35.0,5.1
72,32.38,4.6
73,113.69,4.7
74,92.0,2.92
75,119.0,2.64
76,10.81,5.0
77,35.0,4.8
78,35.0,4.7
79,35.0,5.6
80,27.32,4.8
81,35.0,5.2
82,35.0,5.0
83,118.0,3.53
84,21.44,4.8
85,35.0,5.0
86,2.92,2.54
87,83.0,3.76
88,53.0,3.56
89,35.0,4.1
90,0.0,2.7
91,35.0,4.6
92,6.05,2.6
93,27.93,4.6
94,35.0,4.6
95,35.0,5.0
96,163.03,4.4
97,35.0,5.0
98,35.0,5.0
99,84.0,2.47
100,35.0,4.5
101,16.63,5.2
102,78.0,2.8
103,35.0,5.0
104,35.0,3.08
105,35.0,4.9
106,190.19,4.6
107,35.0,5.2
108,10.0,4.5
109,50.0,2.85
110,10.0,4.2
111,35.0,5.3
112,34.31,4.6
113,35.0,4.9
114,35.0,5.0
115,100.0,2.75
116,10.0,5.0
117,35.0,5.4
118,38.97,5.5
119,35.0,7.5
120,42.74,4.4
121,75.2,2.8
122,10.0,4.6
123,30.77,5.6
124,11.0,2.94
125,10.71,4.5
126,6.3,3.04
127,589.36,4.6
128,221.47,4.6
129,9.03,2.46
130,29.18,4.3
131,53.62,4.7
132,69.0,3.34
133,131.9,4.0
134,54.02,4.4
135,20.46,3.7
136,5.0,2.7
137,5.0,3.6
138,35.0,2.8
139,10.0,4.3
140,1.88,2.72
141,12.86,4.8
142,21.56,3.7
143,253.99,4.6
144,67.0,3.18
145,137.68,4.4
146,47.35,4.3
147,51.0,3.73
148,69.0,2.52
149,36.39,4.2
150,8.0,2.73
151,10.0,4.7
152,12.41,2.9
153,6.1,3.51
154,128.0,3.1
155,41.3,2.6
156,21.37,4.8
157,83.5,3.0
158,10.0,4.0
159,96.37,4.3
160,7.6,2.8
161,22.6,4.0
162,0.0,3.3
163,9.0,2.68
164,3.39,3.1
165,17.57,3.8
166,10.0,5.2
167,10.59,5.0
168,-1.53,2.53
169,28.76,5.0
170,10.0,4.3
171,10.0,4.7
172,133.39,4.1
173,34.61,4.6
174,2.08,2.77
175,613.84,4.8
176,16.31,4.4
177,58.21,4.9
178,10.03,4.4
179,10.0,4.1
180,80.7,2.8
181,34.4,3.2
182,12.0,2.45
183,10.0,4.8
184,6.79,2.8
185,6.16,3.51
186,5.98,3.39
187,7.08,3.0
188,78.0,3.23
189,22.81,4.9
190,77.0,3.41
191,6.93,3.31
192,15.65,3.4
193,116.0,2.78
194,39.03,4.5
195,6.58,2.84
196,17.15,4.5
197,5.93,2.6
198,48.52,4.5
199,3.98,2.46
200,30.1,4.3
201,17.44,2.51
202,115.3,3.3
203,190.76,4.6
204,14.3,3.2
205,11.22,2.72
206,10.0,4.8
207,9.48,2.73
208,120.3,3.5
209,27.5,5.0
210,12.41,2.52
211,17.01,3.6
212,7.29,3.9
213,10.0,3.8
214,2.7,3.8
215,9.3,2.62
216,4.8,4.2
217,3.8,4.4
218,10.22,2.65
219,47.0,3.13
220,1.43,2.67
221,10.0,4.4
222,178.02,4.2
223,27.7,3.1
224,16.93,4.4
225,12.4,2.6
226,10.0,4.7
227,10.37,3.16
228,3.65,2.9
229,2.65,2.8
230,16.14,2.49
231,50.0,3.18
232,0.57,3.01
233,10.08,2.61
234,11.9,2.5
235,17.12,4.4
236,1.92,2.69
237,38.0,3.2
238,10.0,5.3
239,82.7,2.7
240,10.0,5.4
241,10.0,4.1
242,10.0,5.0
243,0.0,3.4
244,10.0,4.2
245,30.0,3.24
246,4.9,2.8
247,16.66,5.0
248,8.28,4.3
249,5.0,3.3
250,10.0,5.0
251,4.96,2.7
252,10.0,4.8
253,-2.1,2.85
254,164.8,4.3
255,10.0,2.9
256,1.4,2.6
257,8.0,3.17
258,52.34,4.7
259,49.72,4.4
260,44.0,3.42
261,186.8,4.1
262,162.17,4.5
263,36.21,4.7
264,10.0,4.6
265,0.1,3.0
266,2.49,2.5
267,10.0,4.4
268,10.0,5.2
269,14.54,2.93
270,252.43,4.3
271,9.5,2.5
272,15.0,3.18
273,204.53,4.2
274,40.5,3.2
275,134.72,4.7
276,140.26,4.8
277,29.76,3.17
278,10.2,2.7
279,123.0,3.4
280,3.3,2.9
281,6.86,2.75
282,35.0,4.5
283,21.69,2.8
284,110.49,4.7
285,9.08,2.68
286,51.94,4.5
287,1.18,3.2
288,65.9,4.9
289,83.32,4.4
290,30.02,4.3
291,98.0,2.53
292,56.0,3.14
293,8.46,2.54
294,20.72,3.2
295,20.5,3.6
